Professor	教授
Case Sensitive	区分大小写
Casual User	简单用户
Category setting is changed. Need to update the record to continue process, update now?	物件分类设定已被修改, 需要先储存才能继续程序, 要现在储存?
Attribute Name	属性名称
Category Name	物件分类名称
Category Filing Rule	分类存档规则
Category Search	分类搜寻
Change Password	更改密码
Check In With New Version	锁定新版本
Classification	分类叙述
Clear Filtering	清除筛选
Clear User Session	清除用户暂存
Assigned	已指派
Role	角色
Column Display Option	欄位顯示設定
Comment	注解
Concurrent User	共享用户
Confirm	确认
Confirm Password	确定密码
Confirm to delete inbox	确认删除此信件箱
Confirm to delete task	确认删除此文件审核
Confirm to delete user	确认删除此用户
Move the selected record	移动已选的记录
Confirm Reset Password	确认重置密码 
Connection String	连接字符串 
Open Containing Folder	打开所属文件夹
Add To Group	新增用户群组
Admin Check In	管理员解除锁定
Attach Category Form	附加分类表格
Audit Trail	档案日志
Browse Content	浏览内容
Category	物件分类
Check In	解除锁定
Check In with new version	存入新版本
Check Out	锁定
Clean Folder	清空文件夹
Copy	复制
Cut	剪下
Delete	删除
Delete Attribute	删除属性
Delete Category	删除物件分类
Delete Group	删除用户群组
Delete User	删除用户
Download	下载
Download Original	下载原始档案
Send Link To Email	发送连结到邮件
Generate Barcode Label	文件夹条码标签
Modify Attribute	修改属性
Modify	修改
Move	移动
New Version	新版本
Paste	贴上
Permission	权限
Properties	属性
Remove Category Form	移除分类表格
Remove From Group	从用户群组中移除
SOP Email Capture Setup	SOP检视电子邮件设置
Version History	版本目录
Execute Archive	执行存档
Remove From Archive	取消存档
Get shareable link	取得档案连接
Copy user(s) to other group? (Yes:Copy / No: Move)	复制用戶到群组? (Yes:复制 / No: 移动)
Created By	建立用户
Created Date	建立日期
Cross Reference	交叉参考
List Values	列表值
First Completion Date	第一个完成日
First Expiry Date	第一个到期日
Second Completion Date	第二个完成日
Second Expiry Date	第二个到期日
Boolean	是/否
Cat Look up field	分类查找储存格
Date	日期
Link	连结
Number	数字
Text	文字
Date	日期
Default Replace Version	默认替换版本 
Default Sorting	預设排序
Sorting Order	排序次序
 Delete Attribute	删除属性
Delete Organizational Unit	删除组织
Remove related files after archiving? </br>(The master folder, related shortcut and subitems in the folder will be included)	存档後删除原来档案? </br>(此删除包含主文件夹,相关捷径和子文件)
Delete the selected record(s)?	确定删除此资料?
Delete Role	刪除角色
Deletion	删除
Description	叙述
Folder	目的地
Direct Link	文件捷径
Display Category	分类
Display Length	显示长度
Delete	删除
Document Attribute	文件属性
Document Move	移动文件 
Document Type Setting	档案类别设定
Document Type Value	档案类别
Document Category	档案分类
Document Expiry	档案到期
Document ID	档案編號
Document ID	文件序号
Document Index	档案索引
Document Search	档案搜寻
Document Status Summary	文件狀態概要
Document Update	档案更新
Confirm to delete record(s)?This action cannot be UNDONE.	确定要删除纪录？此动作不能复原
Move down the selected record?	将已选择的项目往下移动?
Download PDF	下载PDF
RemoveAll	移除所有
Upload	上传
Email Account	邮件帐户
Compose	编写
Delete	删除
Forward	转寄
Reply	回覆
Reply All	全部回覆
Account Name	帐户名称
Host	主机地址
Port	连接埠
Password	密码
Server Type	伺服器类型
User Name	登入名称
Email	邮件
Attachment	附加档案
CC	副件
Content	内容
Email Folder	电邮
From	送件者
Received Date	接收日期
Receive Email	接收邮件
Sender	送件者
Size	大小
Subject	主题
To	收件者
Email Address	检视电子邮件的地址
DIKO URL	DIKO URL
Exception Folder ID	检视电子邮件的异常资料夹编号
Email Host	检视电子邮件的主机
Email Password	检视电子邮件的密码
Email Port	检视电子邮件的端口
Capture Email Setting	检视电子邮件设定
Email Type	检视电子邮件的类别
Email Link	邮件连结
Scheduled Email Send Time	寄出电邮时间排程
Enable Expiry Date	启用到期日
Enable Watermark	启用水印
Expiry Date	到期日期
Email Alert Before Deadline(No. of days)	档案到期前的电邮提示(日数)
Explorer	瀏覽器
Export Date	汇出日期
Empty field for auto generate password to email	空白不填将由系统随机产生密码并发到电邮
Yes	是
Encrypted	已被加密
Encryption	加密
File Name	档案名称
No	否
Not Encrypted	未被加密
Attachment	档案
Filing Parent ID	存档文件序号
First Name	名字
Folder Name	资料夹名称
Project Folder Request	申请专案资料夹
Folder Request Log	专案资料夹申请记录
Folder Summary Report	文件夹总结报告 
Full Format	整页 
Full Page	全页
Full Text Search	全文字搜寻
Displaying Items {0} - {1} of {2}	显示共{2}中的{0}至{1}.
No Items to display	没有显示物件
Page	页数
Attribute Name	属性名称
Attribute Value	属性值
Category Name	物件分类名称
Comment	评语
Created By	建立用户
Created Date	建立日期
Data Type	类别
Field Name	项目名称
File Type	档案类型
First Name	名字
Form Attached	已附加表格
Group Member	隶属群组
Group Name	用户群组名称
Last Modified	上一次更新
Last Name	姓氏
Latest Version	最新版本
Mandatory	必须
Mass [0 as Invisible field]	Mass [0 当作隐藏项目]
Name	名称
Original Name	原始名称
Password Last Modified	密码修改时间
Path	路径
Regualar Expression	表达式
Reserved By	保留者
Reserved Date	保留日期
Size	大小
Status	状态
Supervisor	Supervisor
Task Name	工作名称
Updated By	更新用户
